"","territory","year","total","season","drought_rank"
"1","Bulungu","1990",640.990973549199,"Season A",2
"2","Bulungu","1991",645.312308738454,"Season A",3
"3","Bulungu","1992",NA,"Season A",NA
"4","Bulungu","1993",715.824784851098,"Season A",7
"5","Bulungu","1994",NA,"Season A",NA
"6","Bulungu","1995",NA,"Season A",NA
"7","Bulungu","1996",629.878852775256,"Season A",1
"8","Bulungu","1997",NA,"Season A",NA
"9","Bulungu","1998",NA,"Season A",NA
"10","Bulungu","1999",NA,"Season A",NA
"11","Bulungu","2000",NA,"Season A",NA
"12","Bulungu","2001",NA,"Season A",NA
"13","Bulungu","2002",NA,"Season A",NA
"14","Bulungu","2003",697.066700469974,"Season A",5
"15","Bulungu","2004",NA,"Season A",NA
"16","Bulungu","2005",703.316544287161,"Season A",6
"17","Bulungu","2006",NA,"Season A",NA
"18","Bulungu","2007",NA,"Season A",NA
"19","Bulungu","2008",NA,"Season A",NA
"20","Bulungu","2009",724.319731795828,"Season A",8
"21","Bulungu","2010",NA,"Season A",NA
"22","Bulungu","2011",NA,"Season A",NA
"23","Bulungu","2012",NA,"Season A",NA
"24","Bulungu","2013",NA,"Season A",NA
"25","Bulungu","2014",NA,"Season A",NA
"26","Bulungu","2015",660.191803725653,"Season A",4
"27","Bulungu","2016",NA,"Season A",NA
"28","Bulungu","2017",NA,"Season A",NA
"29","Bulungu","2018",NA,"Season A",NA
"30","Bulungu","2019",NA,"Season A",NA
"31","Bulungu","2020",NA,"Season A",NA
"32","Bulungu","2021",NA,"Season A",NA
"33","Bulungu","2022",NA,"Season A",NA
"34","Demba","1990",718.605913130075,"Season A",3
"35","Demba","1991",NA,"Season A",NA
"36","Demba","1992",NA,"Season A",NA
"37","Demba","1993",526.877708925631,"Season A",1
"38","Demba","1994",NA,"Season A",NA
"39","Demba","1995",NA,"Season A",NA
"40","Demba","1996",692.907412278871,"Season A",2
"41","Demba","1997",NA,"Season A",NA
"42","Demba","1998",NA,"Season A",NA
"43","Demba","1999",NA,"Season A",NA
"44","Demba","2000",NA,"Season A",NA
"45","Demba","2001",NA,"Season A",NA
"46","Demba","2002",NA,"Season A",NA
"47","Demba","2003",NA,"Season A",NA
"48","Demba","2004",NA,"Season A",NA
"49","Demba","2005",722.396846068294,"Season A",4
"50","Demba","2006",NA,"Season A",NA
"51","Demba","2007",NA,"Season A",NA
"52","Demba","2008",737.231770877884,"Season A",6
"53","Demba","2009",NA,"Season A",NA
"54","Demba","2010",NA,"Season A",NA
"55","Demba","2011",NA,"Season A",NA
"56","Demba","2012",NA,"Season A",NA
"57","Demba","2013",NA,"Season A",NA
"58","Demba","2014",NA,"Season A",NA
"59","Demba","2015",NA,"Season A",NA
"60","Demba","2016",737.652881872404,"Season A",7
"61","Demba","2017",NA,"Season A",NA
"62","Demba","2018",NA,"Season A",NA
"63","Demba","2019",NA,"Season A",NA
"64","Demba","2020",NA,"Season A",NA
"65","Demba","2021",738.133844088921,"Season A",8
"66","Demba","2022",733.227095280935,"Season A",5
"67","Kamonia","1990",597.833528931746,"Season A",2
"68","Kamonia","1991",NA,"Season A",NA
"69","Kamonia","1992",NA,"Season A",NA
"70","Kamonia","1993",408.252331195651,"Season A",1
"71","Kamonia","1994",NA,"Season A",NA
"72","Kamonia","1995",NA,"Season A",NA
"73","Kamonia","1996",644.974684243956,"Season A",3
"74","Kamonia","1997",NA,"Season A",NA
"75","Kamonia","1998",NA,"Season A",NA
"76","Kamonia","1999",NA,"Season A",NA
"77","Kamonia","2000",NA,"Season A",NA
"78","Kamonia","2001",675.336357953082,"Season A",4
"79","Kamonia","2002",NA,"Season A",NA
"80","Kamonia","2003",675.36191322963,"Season A",5
"81","Kamonia","2004",NA,"Season A",NA
"82","Kamonia","2005",702.40038225793,"Season A",8
"83","Kamonia","2006",NA,"Season A",NA
"84","Kamonia","2007",NA,"Season A",NA
"85","Kamonia","2008",NA,"Season A",NA
"86","Kamonia","2009",NA,"Season A",NA
"87","Kamonia","2010",NA,"Season A",NA
"88","Kamonia","2011",NA,"Season A",NA
"89","Kamonia","2012",NA,"Season A",NA
"90","Kamonia","2013",NA,"Season A",NA
"91","Kamonia","2014",NA,"Season A",NA
"92","Kamonia","2015",688.283131811636,"Season A",6
"93","Kamonia","2016",695.536126930996,"Season A",7
"94","Kamonia","2017",NA,"Season A",NA
"95","Kamonia","2018",NA,"Season A",NA
"96","Kamonia","2019",NA,"Season A",NA
"97","Kamonia","2020",NA,"Season A",NA
"98","Kamonia","2021",NA,"Season A",NA
"99","Kamonia","2022",NA,"Season A",NA
"100","Bulungu","1990",NA,"Season B",NA
"101","Bulungu","1991",NA,"Season B",NA
"102","Bulungu","1992",NA,"Season B",NA
"103","Bulungu","1993",NA,"Season B",NA
"104","Bulungu","1994",475.651421240944,"Season B",1
"105","Bulungu","1995",511.672484702492,"Season B",2
"106","Bulungu","1996",NA,"Season B",NA
"107","Bulungu","1997",NA,"Season B",NA
"108","Bulungu","1998",NA,"Season B",NA
"109","Bulungu","1999",NA,"Season B",NA
"110","Bulungu","2000",594.534839879107,"Season B",6
"111","Bulungu","2001",NA,"Season B",NA
"112","Bulungu","2002",NA,"Season B",NA
"113","Bulungu","2003",NA,"Season B",NA
"114","Bulungu","2004",NA,"Season B",NA
"115","Bulungu","2005",NA,"Season B",NA
"116","Bulungu","2006",NA,"Season B",NA
"117","Bulungu","2007",NA,"Season B",NA
"118","Bulungu","2008",NA,"Season B",NA
"119","Bulungu","2009",NA,"Season B",NA
"120","Bulungu","2010",NA,"Season B",NA
"121","Bulungu","2011",597.837847100058,"Season B",8
"122","Bulungu","2012",574.036541166926,"Season B",3
"123","Bulungu","2013",NA,"Season B",NA
"124","Bulungu","2014",NA,"Season B",NA
"125","Bulungu","2015",NA,"Season B",NA
"126","Bulungu","2016",NA,"Season B",NA
"127","Bulungu","2017",575.823848684611,"Season B",4
"128","Bulungu","2018",NA,"Season B",NA
"129","Bulungu","2019",587.212887051681,"Season B",5
"130","Bulungu","2020",NA,"Season B",NA
"131","Bulungu","2021",NA,"Season B",NA
"132","Bulungu","2022",NA,"Season B",NA
"133","Bulungu","2023",596.27191077604,"Season B",7
"134","Demba","1990",NA,"Season B",NA
"135","Demba","1991",NA,"Season B",NA
"136","Demba","1992",NA,"Season B",NA
"137","Demba","1993",NA,"Season B",NA
"138","Demba","1994",442.455989381658,"Season B",1
"139","Demba","1995",459.052001406012,"Season B",2
"140","Demba","1996",NA,"Season B",NA
"141","Demba","1997",NA,"Season B",NA
"142","Demba","1998",558.899454481986,"Season B",4
"143","Demba","1999",NA,"Season B",NA
"144","Demba","2000",NA,"Season B",NA
"145","Demba","2001",548.480283907285,"Season B",3
"146","Demba","2002",NA,"Season B",NA
"147","Demba","2003",596.256032597391,"Season B",6
"148","Demba","2004",NA,"Season B",NA
"149","Demba","2005",NA,"Season B",NA
"150","Demba","2006",NA,"Season B",NA
"151","Demba","2007",NA,"Season B",NA
"152","Demba","2008",NA,"Season B",NA
"153","Demba","2009",NA,"Season B",NA
"154","Demba","2010",NA,"Season B",NA
"155","Demba","2011",NA,"Season B",NA
"156","Demba","2012",627.555887813368,"Season B",8
"157","Demba","2013",NA,"Season B",NA
"158","Demba","2014",NA,"Season B",NA
"159","Demba","2015",623.553511458804,"Season B",7
"160","Demba","2016",NA,"Season B",NA
"161","Demba","2017",NA,"Season B",NA
"162","Demba","2018",NA,"Season B",NA
"163","Demba","2019",NA,"Season B",NA
"164","Demba","2020",562.624315871679,"Season B",5
"165","Demba","2021",NA,"Season B",NA
"166","Demba","2022",NA,"Season B",NA
"167","Demba","2023",NA,"Season B",NA
"168","Kamonia","1990",564.31784174508,"Season B",4
"169","Kamonia","1991",NA,"Season B",NA
"170","Kamonia","1992",NA,"Season B",NA
"171","Kamonia","1993",NA,"Season B",NA
"172","Kamonia","1994",446.236204422787,"Season B",2
"173","Kamonia","1995",424.551398428626,"Season B",1
"174","Kamonia","1996",NA,"Season B",NA
"175","Kamonia","1997",NA,"Season B",NA
"176","Kamonia","1998",571.373844551584,"Season B",6
"177","Kamonia","1999",NA,"Season B",NA
"178","Kamonia","2000",NA,"Season B",NA
"179","Kamonia","2001",NA,"Season B",NA
"180","Kamonia","2002",NA,"Season B",NA
"181","Kamonia","2003",NA,"Season B",NA
"182","Kamonia","2004",NA,"Season B",NA
"183","Kamonia","2005",NA,"Season B",NA
"184","Kamonia","2006",NA,"Season B",NA
"185","Kamonia","2007",NA,"Season B",NA
"186","Kamonia","2008",NA,"Season B",NA
"187","Kamonia","2009",NA,"Season B",NA
"188","Kamonia","2010",NA,"Season B",NA
"189","Kamonia","2011",NA,"Season B",NA
"190","Kamonia","2012",571.45651686436,"Season B",7
"191","Kamonia","2013",566.403089057059,"Season B",5
"192","Kamonia","2014",NA,"Season B",NA
"193","Kamonia","2015",NA,"Season B",NA
"194","Kamonia","2016",NA,"Season B",NA
"195","Kamonia","2017",NA,"Season B",NA
"196","Kamonia","2018",551.634361260789,"Season B",3
"197","Kamonia","2019",NA,"Season B",NA
"198","Kamonia","2020",NA,"Season B",NA
"199","Kamonia","2021",NA,"Season B",NA
"200","Kamonia","2022",NA,"Season B",NA
"201","Kamonia","2023",583.275551457368,"Season B",8
