"","state","district","village","index","rank","year"
"1","Niger","Mokwa","Batako",1,"1","2023"
"2","Niger","Mokwa","Batako",1,"2","1990"
"3","Niger","Mokwa","Batako",1,"3","2019"
"4","Niger","Mokwa","Batako",1,"4","2021"
"5","Niger","Mokwa","Batako",1,"5","2020"
"6","Niger","Mokwa","Batako",1,"6","1998"
"7","Niger","Mokwa","Batako",1,"7","2000"
"8","Niger","Mokwa","Batako",1,"8","2002"
"9","Niger","Mokwa","Gogata",2,"1","1995"
"10","Niger","Mokwa","Gogata",2,"2","2006"
"11","Niger","Mokwa","Gogata",2,"3","2008"
"12","Niger","Mokwa","Gogata",2,"4","1997"
"13","Niger","Mokwa","Gogata",2,"5","2013"
"14","Niger","Mokwa","Gogata",2,"6","2011"
"15","Niger","Mokwa","Gogata",2,"7","2022"
"16","Niger","Mokwa","Gogata",2,"8","2005"
"17","Niger","Minna","Gana",3,"1","2019"
"18","Niger","Minna","Gana",3,"2","2012"
"19","Niger","Minna","Gana",3,"3","2016"
"20","Niger","Minna","Gana",3,"4","2021"
"21","Niger","Minna","Gana",3,"5","2003"
"22","Niger","Minna","Gana",3,"6",NA
"23","Niger","Minna","Gana",3,"7",NA
"24","Niger","Minna","Gana",3,"8",NA
"25","Niger","Minna","Kataeregi",4,"1","2021"
"26","Niger","Minna","Kataeregi",4,"2","2023"
"27","Niger","Minna","Kataeregi",4,"3","2020"
"28","Niger","Minna","Kataeregi",4,"4","2015"
"29","Niger","Minna","Kataeregi",4,"5","2016"
"30","Niger","Minna","Kataeregi",4,"6",NA
"31","Niger","Minna","Kataeregi",4,"7",NA
"32","Niger","Minna","Kataeregi",4,"8",NA
"33","Niger","Minna","Emi wuro",5,"1","2014"
"34","Niger","Minna","Emi wuro",5,"2","2019"
"35","Niger","Minna","Emi wuro",5,"3","2023"
"36","Niger","Minna","Emi wuro",5,"4","2001"
"37","Niger","Minna","Emi wuro",5,"5","1990"
"38","Niger","Minna","Emi wuro",5,"6","2015"
"39","Niger","Minna","Emi wuro",5,"7",NA
"40","Niger","Minna","Emi wuro",5,"8",NA
"41","Niger","Mokwa","Kuchi Busu",6,"1","2023"
"42","Niger","Mokwa","Kuchi Busu",6,"2","1998"
"43","Niger","Mokwa","Kuchi Busu",6,"3","2017"
"44","Niger","Mokwa","Kuchi Busu",6,"4","2003"
"45","Niger","Mokwa","Kuchi Busu",6,"5","2016"
"46","Niger","Mokwa","Kuchi Busu",6,"6","2010"
"47","Niger","Mokwa","Kuchi Busu",6,"7","2000"
"48","Niger","Mokwa","Kuchi Busu",6,"8","2012"
"49","Niger","Mokwa","Edokota",7,"1","2016"
"50","Niger","Mokwa","Edokota",7,"2","2018"
"51","Niger","Mokwa","Edokota",7,"3","1993"
"52","Niger","Mokwa","Edokota",7,"4","2019"
"53","Niger","Mokwa","Edokota",7,"5","1996"
"54","Niger","Mokwa","Edokota",7,"6","2023"
"55","Niger","Mokwa","Edokota",7,"7","2011"
"56","Niger","Mokwa","Edokota",7,"8","2009"
"57","Niger","Minna","Gusase",8,"1","2023"
"58","Niger","Minna","Gusase",8,"2","2013"
"59","Niger","Minna","Gusase",8,"3","2021"
"60","Niger","Minna","Gusase",8,"4","2003"
"61","Niger","Minna","Gusase",8,"5","1998"
"62","Niger","Minna","Gusase",8,"6",NA
"63","Niger","Minna","Gusase",8,"7",NA
"64","Niger","Minna","Gusase",8,"8",NA
"65","Niger","Minna","Garatu",9,"1","2021"
"66","Niger","Minna","Garatu",9,"2","2023"
"67","Niger","Minna","Garatu",9,"3","2015"
"68","Niger","Minna","Garatu",9,"4","1998"
"69","Niger","Minna","Garatu",9,"5","2004"
"70","Niger","Minna","Garatu",9,"6","2008"
"71","Niger","Minna","Garatu",9,"7","2012"
"72","Niger","Minna","Garatu",9,"8",NA
